Royal Challengers Bangalore

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance

1.	Virat Kohli(c)			Batsman				18		Excellent
2.	AB de Villiers*			Batsman				17		Excellent
3.	Chris Gayle*			Batsman				999		Excellent
4.	Travis Head*			Batting-Allrounder		4		Good
5.	Kedar Jadhav			Batting-Allrounder		7		V.Good
6.	Sarfaraz Khan			WK-Batsman			2		Average
7.	Mandeep Singh			Batsman				3		V.Good
8.	Lokesh Rahul			WK-Batsman			1		Excellent
9.	Harshal Patel			Bowling-Allrounder		5		Poor
10.	Kane Richardson*		Fast-Bowler			6		Good
11.	Shane Watson*			Batting-Allrounder		33		Excellent
12.	Samuel Badre*			Spin-Bowler			8		Average
13.	Yuzvendra Chahal		Spin-Bowler			9		Excellent
14.	Sreenath Aravind		Fast-Bowler			10		Good
15.	Stuart Binny			Bowling-Allrounder		11		Average
16.	Praveen Dubey			Spin-Bowler			12		-
17.	Abu Nechim			Bowling-Allrounder		13		Poor
18.	Sachin Baby			Batsman				14		Poor
19.	Vikas Tokas			Fast-Bowler			15		-
20.	David Wiese*			Batting-Allrounder		16		V.Good
21.	Varun Aaron			Fast-Bowler			19		Good
22.	Iqbal Abdulla			Bowling-Allrounder		20		poor
23.	Akshay Karnewar			Bowling-Allrounder		21		-
24.	Vikramjeet Singh Malik		Fast-Bowler			22		Poor
25.	Adam Milne*			Fast-Bowler			23		V.Good


Rising Pune Supergiants

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance

1.	MS Dhoni(c)			WK-Batsman			7		Excellent
2.	Ajinkya Rahane			Batsman				27		Excellent
3.	Ravichandran Ashwin		Bowling-Allrounder		99		Excellent
4.	Rajat Bhatia			Bowling-Allrounder		1		Good
5.	Deepak Chahar			Bowling-Allrounder		2		V.Good
6.	Faf du Plessis			Batsman				3		V.Good
7.	Jaskaran Singh			Spin-Bowler			4		Poor
8.	Irfan Pathan			Bowling-Allrounder		5		V.Good
9.	Kevin Pietersen			Batsman				6		V.Good
10.	Ishant Sharma			Fast-Bowler			8		V.Good
11.	Steven Smith			Batsman				9		V.Good
12.	Adam Zampa			Spin-Bowler			10		Good
13.	Ankit Sharma			Fast-Bowler			11		Poor
14.	Murugan Ashwin			Spin-Bowler			12		Good
15.	Ankush Bains			WK-Batsman			13		-
16.	Scott Boland			Fast-Bowler			14		Poor
17.	Ashok Dinda			Fast-Bowler			15		Poor
18.	Peter Handscomb			WK-Batsman			16		-
19.	Mitchell Marsh			Batting-Allrounder		17		V.Good
20.	Ishwar Pandey			Fast-Bowler			18		-
21.	Thisara Perera			Bowling-Allrounder		19		Good
22.	Baba Aprajith			WK-Batsman			20		-
23.	RP Singh			Fast-Bowler			21		-


Gujrat Lions

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance

1.	Suresh Raina(c)			Batsman				3		Excellent
2.	Akshdeep Nath			Batting-Allrounder		1		Poor
3.	Dwayne Bravo			Bowling-Allrounder		2		Excellent
4.	Eklavya Dwivedi			WK-Batsman			4		Good
5.	Aaron Finch			Batsman				10		V.Good
6.	Ravindra Jadeja			Bowling-Allrounder     		8		Excellent
7.	Dinesh Karthik			WK-Batsman			21		Excellent
8.	Dhawal Kulkarni			Fast-Bowler			15		Excellent
9.	Brendon McCullum		WK-Batsman			22		Excellent
10.	Jaydev Shah			Batsman				5		-
11.	Dwayne Smith			Batsman				6		Good
12.	Pravin Tambe			Spin-Bowler			55		Poor
13.	Sarabjit Ladda			Batsman				17		-
14.	Amit Mishra			Spin-Bowler			19		Good
15.	Paras Dogra			Batsman				9		-
16.	James Faulkner			Bowling-Allrounder		11		Good
17.	Ishan Kishan			WK-Batsman			7		Good
18.	Shadab Jakati			Bowling-Allrounder		23		Good
19.	Shivil Koushik			Spin-Bowler			12		Good
20.	Praveen Kumar			Fast-Bowler			13		Poor
21.	Pradeep Sangwan			Fast-Bowler			14		-
22.	Dale Steyn			Fast-Bowler			32		-
23.	Andrew Tye			Bowling-Allrounder		68		Excellent


Delhi Daredevils

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance

1.	Zaheer Khan(c)			Fast-Bowler			17		V.Good
2.	K Khaleel Ahmed			Fast-Bowler			11		-
3.	Carlos Brathwaite		Bowling-Allrounder		13		V.Good
4.	Quinton de Kock			WK-Batsman			7		V.Good
5.	Akhil Herwadkar			Batsman				8		-
6.	Shreyas Iyer			Batsman				21		Excellent
7.	Chama V Milind			Fast-Bolwer			22		-
8.	Mohammed Shami			Fast-Bowler			19		V.Good
9.	Shahbaz Nadeem			Spin-Bolwer			20		V.Good
10.	Pawan Negi			Bowling-Allrounder		18		Good
11.	Joel Paris			Fast-Bowler			1		-
12.	Sanju Samson			WK-Batsman			5		Excellent
13.	Jayant Yadav			Bowling-Allrounder		2		V.Good
14.	Mayank Agarwal			Batsman				12		V.Good
15.	Sam Billings			Batsman				14		Good
16.	Nathan Coulter-Nile		Bowling-Allrounder		3		Good
17.	Jean-Paul Duminy		Bowling-Allrounder		4		Good
18.	Imran Tahir			Spin-Bowler			99		Good
19.	Mahipal Lomror			Batting-Allrounder		6		-
20.	Chris Morris			Bowling-Allrounder		9		V.Good
21.	Karun Nair			Batsman				31		Excellent
22.	Rishabh Pant			WK-Batsman			32		Excellent
23.	Pratyush Singh			Spin-Bowler			45		-
24.	Pawan Suyal			Fast-Bowler			27		-


Mumbai Indians

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance

1.	Rohit Sharma(c)			Batsman				45		Excellent
2.	Jasprit Bumrah			Fast-Bowler			93		Excellent
3.	Unmukt Chand			Batsman				11		V.Good
4.	Shreyas Gopal			Batting-Allrounder		10		Good
5.	Kishore Kamat			Spin Bowler			2		-
6.	Mitchell McClenaghan		Fast-Bowler			97		V.Good
7.	Hardik Pandya			Batting-Allrounder		228		Excellent
8.	Parthiv Patel			WK-Batsman			19		V.Good
9.	Deepak Punia			Spin Bowler			18		-
10.	Ambati Rayudu			Batsman				17		V.Good
11.	Lendl Simmons			Batsman				16		V.Good
12.	Tim Southee			Fast-Bowler			15		V.Good
13.	Vinay Kumar			Fast-Bowler			64		V.Good
14.	Corey Anderson			Batting-Allrounder		29		V.Good
15.	Jos Buttler			WK-Batsman			13		Excellent
16.	Marchant de Lange		Fast-Bowler			32		-
17.	Harbhajan Singh			Spin Bowler			25		Excellent
18.	Siddhesh Lad			WK-Batsman			2		Good
19.	Lasith Malinga			Fast-Bowler			1		Excellent
20.	Krunal Pandya			Batting-Allrounder		24		Excellent
21.	Kieron Pollard			Batsman				9		V.Good
22.	Nitish Rana			Batsman				8		V.Good
23.	Jitesh Sharma			Batsman				6		-
